Partlist,Value,Device,Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2200pF/40V,C-EU0805-B-NOSILK,C102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ACM2012,ACM2012,L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ALT4532,ALT4532,T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17, T18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AMBER,LEDCHIPLED_0603,LED1, LED5, LED9, LED13, LED17, LED21, LED25, LED29, LED33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Auxiliary Header,1.27MM_HDR_1X4,J15, J16, J17, J18, J19, J20, J21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BAT54,BAT54,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BOOT0 Jumper,1.27MM_HDR_2X12X1,J5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BOOT1 Jumper,1.27MM_HDR_2X12X1,J12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BQ24725QFN-20,BQ24725QFN-20,U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BSS84,PMOSSOT23,T1, T19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BSS138W-7-F,BSS138W-7-F,Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DIODE-0603,DIODE-0603,D1, D2, D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Debug Header,1.27MM_HDR_2X5,J22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FDS6680ASOIC8,FDS6680ASOIC8,Q2, Q3, Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GREEN,LEDCHIPLED_0603,LED22, LED38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GREEN,LEDSML0603,LED3, LED6, LED8, LED11, LED14, LED16, LED39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I2C Header,1.27MM_HDR_1X3,J11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KS8999,KS8999,U4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LTM8023,LTM8023,U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MAX4734ETC+,MAX4734ETC+,U14, U15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MIC37101-2.1YM,MIC37101-2.1YM,U6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NDS335N,NMOSSOT23,T2, T20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PGOOD Jumper,1.27MM_HDR_2X12X1,J13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RED,LEDSML0603,LED2, LED4, LED7, LED10, LED12, LED15, LED18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RGB,LED_RGB_PLCC-6,LED37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ROCKETNET-BATTERY-14,ROCKETNET-BATTERY-14,J9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ROCKETNET-CONNECTOR-16M,ROCKETNET-CONNECTOR-16M,J1, J2, J3, J4, J6, J7, J8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ROCKETNET-UMBILICAL-18,ROCKETNET-UMBILICAL-18,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIS412DNSOP-8,SIS412DNSOP-8,Q5, Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SMAJ18CA,SMAJ18CA,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SN65220DBV,SN65220DBV,U3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,STM32F407V100-PIN_QFP,STM32F407V100-PIN_QFP,U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TBD,C-EU0402-B-NOSILK,C95, C96, C97, C98, C99, C100, C101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TBD,R-US_0402-B-NOSILK,R49, R51, R52, R54, R56, R58, R60, R62, R66, R67, R68, R69, R70, R71, R121, R122, R123, R124, R125, R126, R127,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TBD/FB,L-BEAD-0603-B,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TPS2420QFN-16,TPS2420QFN-16,U7, U8, U9, U10, U11, U12, U13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TPTP06R,TPTP06R,TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40,,,,,,,
1,UART Header,1.27MM_HDR_1X4_TX_RX,J10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
