Partlist,Value,Device,Package,Manufacturer,Part#,Description,
TP10,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP11,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP12,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP13,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP14,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP15,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP16,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP17,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP18,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP19,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP20,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP21,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP22,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP23,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP24,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP25,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP26,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP27,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP28,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP29,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP30,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP31,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP32,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP33,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP34,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP35,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP36,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP37,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP38,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP39,TPTP06R,TPTP06R,TP06R,,,Test pad,
TP40,TPTP06R,TPTP06R,TP06R,,,Test pad,
U1,STM32F407V100-PIN_QFP,STM32F407V100-PIN_QFP,LQFP-100,,,,
U2,BQ24725QFN-20,BQ24725QFN-20,S-PVQFN-N20,,,,
U3,SN65220DBV,SN65220DBV,SOT23-6L,,,,
U4,KS8999,KS8999,PQFP208,,,,
U5,LTM8023,LTM8023,LGA-50,,,,
U6,MIC37101-2.1YM,MIC37101-2.1YM,SOIC-8,,,,
U7,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U8,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U9,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U10,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U11,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U12,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U13,TPS2420QFN-16,TPS2420QFN-16,QFN-306,,,,
U14,MAX4734ETC+,MAX4734ETC+,TQFN-12,,,,
U15,MAX4734ETC+,MAX4734ETC+,TQFN-12,,,,
